id,user_id,type_id,amount,start_date,expiry_date
1,1,1,,2025-01-05,2025-02-05
2,1,1,,2025-02-05,2025-03-05
3,2,1,,2025-02-07,2025-03-07
4,3,1,,2025-03-02,2025-04-02
5,1,2,15.00,2025-03-05,2025-04-05
6,2,2,15.00,2025-03-07,2025-04-07
7,4,1,,2025-03-11,2025-04-11
8,5,1,,2025-03-13,2025-04-13
9,3,5,144.00,2025-04-02,2026-04-02
10,1,3,24.00,2025-04-05,2025-05-05
11,2,1,,2025-04-07,2025-05-07
12,4,1,,2025-04-11,2025-05-11
13,5,1,,2025-04-13,2025-05-13
14,6,1,,2025-05-01,2025-06-01
15,1,3,24.00,2025-05-05,2025-06-05
16,4,3,24.00,2025-05-11,2025-06-11
17,5,2,15.00,2025-05-13,2025-06-13
18,6,3,24.00,2025-06-01,2025-07-01
19,1,2,15.00,2025-06-05,2025-07-05
20,4,2,15.00,2025-06-11,2025-07-11
21,5,3,24.00,2025-06-13,2025-07-13
22,6,5,144.00,2025-07-01,2026-07-01
23,7,1,,2025-07-03,2025-08-03
24,1,4,40.00,2025-07-05,2025-10-05
25,8,1,,2025-07-10,2025-08-10
26,4,4,40.00,2025-07-11,2025-10-11
27,5,3,24.00,2025-07-13,2025-08-13
28,7,2,15.00,2025-08-03,2025-09-03
29,8,3,24.00,2025-08-10,2025-09-10
30,5,1,,2025-08-13,2025-09-13
31,4,4,40.00,2025-10-11,2026-01-11
